dx,mental_cat,match_type
T49.92XS,self_harm,exact
T50.0X2,self_harm,exact
T50.0X2A,self_harm,exact
T50.0X2D,self_harm,exact
T50.0X2S,self_harm,exact
T50.1X2,self_harm,exact
T50.1X2A,self_harm,exact
T50.1X2D,self_harm,exact
T50.1X2S,self_harm,exact
T50.2X2,self_harm,exact
T50.2X2A,self_harm,exact
T50.2X2D,self_harm,exact
T50.2X2S,self_harm,exact
T50.3X2,self_harm,exact
T50.3X2A,self_harm,exact
T50.3X2D,self_harm,exact
T50.3X2S,self_harm,exact
T50.4X2,self_harm,exact
T50.4X2A,self_harm,exact
T50.4X2D,self_harm,exact
T50.4X2S,self_harm,exact
T50.5X2,self_harm,exact
T50.5X2A,self_harm,exact
T50.5X2D,self_harm,exact
T50.5X2S,self_harm,exact
T50.6X2,self_harm,exact
T50.6X2A,self_harm,exact
T50.6X2D,self_harm,exact
T50.6X2S,self_harm,exact
T50.7X2,self_harm,exact
T50.7X2A,self_harm,exact
T50.7X2D,self_harm,exact
T50.7X2S,self_harm,exact
T50.8X2,self_harm,exact
T50.8X2A,self_harm,exact
T50.8X2D,self_harm,exact
T50.8X2S,self_harm,exact
T50.902,self_harm,exact
T50.902A,self_harm,exact
T50.902D,self_harm,exact
T50.902S,self_harm,exact
T50.992,self_harm,exact
T50.992A,self_harm,exact
T50.992D,self_harm,exact
T50.992S,self_harm,exact
T50.A12,self_harm,exact
T50.A12A,self_harm,exact
T50.A12D,self_harm,exact
T50.A12S,self_harm,exact
T50.A22,self_harm,exact
T50.A22A,self_harm,exact
T50.A22D,self_harm,exact
T50.A22S,self_harm,exact
T50.A92,self_harm,exact
T50.A92A,self_harm,exact
T50.A92D,self_harm,exact
T50.A92S,self_harm,exact
T50.B12,self_harm,exact
T50.B12A,self_harm,exact
T50.B12D,self_harm,exact
T50.B12S,self_harm,exact
T50.B92,self_harm,exact
T50.B92A,self_harm,exact
T50.B92D,self_harm,exact
T50.B92S,self_harm,exact
T50.Z12,self_harm,exact
