zip|tractfips
27572|37063002100
27572|37077970701
27572|37145920500
27572|37077970102
27572|37135010802
27572|37145920100
27573|37145920601
27573|37145920200
27573|37145920400
27573|37145920100
27573|37145920300
27573|37145920500
27574|37145920500
27574|37145920100
27574|37145920300
27574|37077970102
27574|37145920602
27574|37145920601
27574|37145920200
27574|37145920400
27574|37077970101
27576|37101040202
27576|37101040700
27576|37101040400
27576|37101040203
27576|37101040301
27576|37101040201
27576|37101040302
27576|37101040100
27577|37101040800
27577|37101040902
27577|37101040700
27577|37101040400
27577|37101040901
27577|37101041103
27577|37101040500
27577|37101041501
27577|37101041202
27577|37101041201
27577|37101040600
27581|37077970601
27581|37077970701
27582|37077970101
27583|37145920500
27583|37145920602
27583|37145920100
27583|37135010802
27584|37181960200
27586|37185950103
27587|37183054204
27587|37183054208
27587|37183054205
27587|37183053804
27587|37183054210
27587|37183054206
27587|37183054209
27587|37069060600
27587|37183054301
27587|37183054207
27587|37183054203
27587|37077970602
27587|37183053808
27587|37069060502
27587|37183054211
27587|37183054111
27587|37183053900
27587|37069060501
27587|37183054110
27587|37183054013
27588|37183054205
27589|37185950300
27589|37185950400
27589|37069060100
27589|37185950103
27589|37185950200
27591|37183054403
27591|37183054302
27591|37101040203
27591|37101040202
27591|37183054109
27591|37183054108
27591|37101040201
27591|37183054402
27591|37183054111
27591|37183054301
27591|37183054404
27592|37183052904
27592|37101041502
27592|37183052901
27592|37101041501
27592|37183053110
27592|37085070901
27592|37183053108
27592|37183053109
27593|37101040901
27594|37185950200
27596|37183054301
27596|37069060502
27596|37183054203
27596|37069060501
27596|37183054210
27596|37183053900
27596|37069060600
27596|37077970602
27596|37183054211
27597|37069060802
27597|37183054210
27597|37183054403
27597|37127011500
27597|37069060801
27597|37069060600
27597|37183054302
27597|37101040201
27597|37101040202
27597|37183054404
27597|37183054301
27599|37135011800
27599|37135011602
27599|37135011601
27599|37135011500
